nome;lat;lng;tipo
Internacional Shopping;-23,488315;-46,548983;azul
Shopping Maia;-23,443433;-46,539955;azul
Shopping Anália Franco;-23,56146;-46,56016;azul
Shopping Mooca Plaza;-23,57974;-46,594246;azul
Shopping Eldorado;-23,572646;-46,695819;azul
Shopping Metrô Tucuruvi;-23,479626;-46,602396;azul
Shopping Cidade São Paulo;-23,563962;-46,652905;azul
Shopping Iguatemi;-23,577199;-46,688048;azul
Shopping JK Iguatemi;-23,591364;-46,689766;azul
Shopping SP Market | Com carrinho: das 22h às 11h, todos os dias | Em mãos: das 16h às 18h, de segunda a sexta-feira. | Em mãos: das 16h às 17h, aos finais de semana e feriados;-23,678487;-46,699169;azul
Shopping Boulevard Tatuapé;-23,538999;-46,576336;azul
Shopping Metrô Tatuapé;-23,541689;-46,577046;azul
Shopping Center 3;-23,558211;-46,658685;azul
Shopping Frei Caneca;-23,55418;-46,652404;azul
Shopping Pátio Paulista;-23,57077;-46,643185;azul
Santana Parque Shopping;-23,482817;-46,644765;azul
Shopping Villa Lobos;-23,551082;-46,722143;azul
Shopping Vila Olímpia;-23,595494;-46,686731;azul
Shopping D;-23,521589;-46,623797;azul
Shopping Ibirapuera;-23,610193;-46,666874;azul
Shopping Metrô Itaquera;-23,540753;-46,470533;azul
Shopping Parque da Cidade;-23,625707;-46,705693;azul
Shopping Light;-23,546695;-46,638584;azul
Shopping Mais Largo 13;-23,653185;-46,710213;azul
Shopping Morumbi;-23,623417;-46,698544;azul
Shopping Metrô Santa Cruz;-23,599135;-46,63721;azul
Shopping West Plaza;-23,527429;-46,674795;azul
Raposo Shopping;-23,588071;-46,751194;azul
Shopping Jardim Sul;-23,631077;-46,735916;azul
Shopping Tietê Plaza;-23,50641;-46,718114;azul
Shopping Cidade Jardim;-23,599033;-46,69757;azul
Shopping Center Norte;-23,515812;-46,618219;azul
Campo Limpo Shopping;-23,649725;-46,757518;azul
Plaza Sul Shopping;-23,619785;-46,626847;azul
Shopping Pátio Higienópolis;-23,542124;-46,657393;azul
Shopping Aricanduva;-23,565902;-46,503075;azul
Shopping Interlagos;-23,676287;-46,676811;azul
Grand Plaza Shopping;-23,648716;-46,53192;azul
Shopping ABC;-23,667739;-46,533405;azul
Atrium Shopping;-23,66366;-46,507441;azul
Shopping Metrópole;-23,692691;-46,550326;azul
Golden Square Shopping;-23,683628;-46,557174;azul
São Bernardo Plaza Shopping;-23,723153;-46,543081;azul
ParkShopping São Caetano;-23,62524175;-46,57933713;azul
Shopping Praça da Moça;-23,691476;-46,623373;azul
Mauá Plaza Shopping;-23,664167;-46,460864;azul
Center Vale Shopping;-23,199942;-45,881328;azul
Vale Sul Shopping;-23,217275;-45,891329;azul
Colinas Shopping;-23,204297;-45,908647;azul
Taubaté Shopping;-23,023564;-45,58175;azul
Praiamar Shopping;-23,97783;-46,308711;azul
Shopping Parque Balneário;-23,968946;-46,332338;azul
Litoral Plaza Shopping;-23,997776;-46,4066;azul
Brisamar Shopping;-23,968004;-46,383924;azul
Serramar Shopping;-23,654187;-45,437064;azul
Caraguá Praia Shopping;-23,623825;-45,410717;azul
Shopping Porto Itaguá;-23,45103;-45,066152;azul
Mogi Shopping;-23,515775;-46,179687;azul
Patteo Urupema Shopping;-23,52537;-46,199418;azul
Suzano Shopping;-23,542863;-46,318485;azul
Itaquá Park Shopping;-23,475434;-46,326332;azul
Outlet Premium Grande São Paulo;-23,433228;-46,272284;azul
Shopping Bonsucesso;-23,434073;-46,403788;azul
Top Shop Caçapava;-23,10629;-45,70764;azul
Pier Mall Caçapava;-23,103555;-45,685161;azul
Aspen Mall;-22,718788;-45,567637;azul
Shopping Center Capivari;-22,718989;-45,566286;azul
Boulevard Genève;-22,718833;-45,566991;azul
Shopping Cadij;-22,720191;-45,568637;azul
Shopping Relógio;-22,719995;-45,56816;azul
Buriti Shopping Guará;-22,812314;-45,197495;azul
Shopping La Plage;-23,999111;-46,260529;azul
Shopping Center Lapa;-23,521167;-46,70079;azul
Shopping Penha;-23,525178;-46,546752;azul
Aeroporto Cumbica;-23,437859;-46,480556;azul
Aeroporto Congonhas - Bola Show;-23,627415;-46,655561;azul
Shopping Morumbi Town;-23,63166;-46,737563;azul
Andorinha Hiper Center;-23,484327;-46,642067;azul
Butantã Shopping;-23,584136;-46,725045;azul
Shopping Market Place;-23,621504;-46,699919;azul
Central Plaza Shopping;-23,591676;-46,586268;azul
Galeria Pagé;-23,52676274;-46,61914496;azul
Top Center Shopping;-23,56524699;-46,65051888;azul
São Bernardo Plaza Shopping;-23,72301357;-46,54311318;azul
Galeria do Rock;-23,54382381;-46,6388192;azul
5Fs Comercio De Calçados Ltda;-23,555562;-46,600525;verde
A Elite De S Bernardo M E Bij Ltda;-23,714396;-46,549258;verde
A2k Calcados E Confeccoes Ltda;-23,494792;-46,571233;verde
Ab 4 Magazine E Calc Eireli Epp;-23,510098;-46,366622;verde
Ae Comercio De Artigos Esportivos L;-23,561454;-46,557878;verde
Ae Comercio De Artigos Esportivos L;-23,51317;-46,653599;verde
Ae Comercio De Artigos Esportivos L;-23,606002;-46,668901;verde
Ae Comercio De Artigos Esportivos L;-23,602588;-46,673184;verde
Ae Comercio De Artigos Esportivos L;-23,562083;-46,659592;verde
AE COMERCIO DE ARTIGOS ESPORTIVOS LTDA;-23,559954;-46,695656;verde
Alessandra Rodrigues Calc Me;-23,469597;-46,694237;verde
Alexandre G Rodrigues Calc Epp;-23,500527;-46,62577;verde
Alonso S Special Calcados Ltda Me;-23,562686;-46,554556;verde
America Calcados E Acessorios Ltda;-23,469698;-46,527177;verde
America Calcados E Acessorios Ltda;-23,503103;-46,625295;verde
Ana Paula Viana Art Do Vest Me;-23,488278;-46,574466;verde
Anderson Gomes Dos S Calcados Epp;-23,637298;-46,768485;verde
Arena Comercio De Vestuario Ltda;-23,54588;-46,471883;verde
B M III Comercio De Calcados Ltda;-23,756209;-46,708301;verde
Backyard Escritorios Colaborativos;-23,550652;-46,691231;verde
Best Fit Comercio De Roupas Ltda Me;-23,554106;-46,649504;verde
Biza Com Art Esportivos Lt Me;-23,494074;-46,646492;verde
C A Freitas Pontes Cia Ltda;-23,984368;-46,301694;verde
Cajueiro Comercio De Calcados Ltda;-23,599646;-46,600576;verde
Calcados Casa Eurico Ltda;-23,605932;-46,663787;verde
Calcados Gabriella Guarulhos Ltda;-23,470125;-46,529441;verde
Calcados Gabriella Lapa Ltda - Epp;-23,523296;-46,705745;verde
Calcados Sergio De Itapevi Ltda;-23,622205;-46,759485;verde
Calcados Thigamar Penha Ltda;-23,526186;-46,549696;verde
Calcados Trevizan Ltda Me;-23,596549;-46,523449;verde
City Perus Com De Cal Ltda Epp;-23,406978;-46,756115;verde
Cl Calcados Ltda Epp;-23,565167;-46,666551;verde
Claudio Rodrigues - Comercio De Cal;-23,503034;-46,625726;verde
Comercial Nickys De Art Esp Ltda;-23,503034;-46,625726;verde
Comercial Tale Attire Couture Ltda;-23,516596;-46,6241;verde
Working Title Comercial Ltda;-23,561977;-46,667829;verde
Smx Magazine Ltda Me;-23,59756;-46,453481;verde
Overboard Artigos Esp Ltda Epp;-23,492291;-46,442865;verde
Magazine Mundial Ltda;-23,492126;-46,443055;verde
Shoebiz Comercio De Calcados Ltda;-23,491991;-46,443178;verde
Elza Pereira Duarte;-23,562175;-46,664455;verde
L V Guimaraes Epp;-23,557446;-46,659495;verde
Mtz Sp Com De Mat Esp Ltda Me;-23,56254;-46,664945;verde
Fabio Luiz Bigonha Epp;-23,544989;-46,436619;verde
Pop Up G Com De Calc E Vest Eireli;-23,572396;-46,6431;verde
Theu Duda Art Esp Ltda Epp;-23,544202;-46,520672;verde
Entempo Artigos Esp Ltda Epp;-23,545075;-46,639965;verde
H 2 S 4 Confeccao E Calcados Ltda;-23,545042;-46,640019;verde
Idn Comercio De A Da Moda Ltda Epp;-23,5587;-46,680201;verde
Leandro Telent Me;-23,65524;-46,528075;verde
Edvaldo Pereira Santos;-23,661394;-46,75346;verde
Pro Esporte Com De Mat Esp Ltda Me;-23,468406;-46,530955;verde
