nome;lat;lng;tipo
Internacional Shopping;-23.488.315;-46.548.983;azul
Shopping Maia;-23.443.433;-46.539.955;azul
Shopping Anália Franco;-2.356.146;-4.656.016;azul
Shopping Mooca Plaza;-2.357.974;-46.594.246;azul
Shopping Eldorado;-23.572.646;-46.695.819;azul
Shopping Metrô Tucuruvi;-23.479.626;-46.602.396;azul
Shopping Cidade São Paulo;-23.563.962;-46.652.905;azul
Shopping Iguatemi;-23.577.199;-46.688.048;azul
Shopping JK Iguatemi;-23.591.364;-46.689.766;azul
Shopping SP Market | Com carrinho: das 22h às 11h. todos os dias | Em mãos: das 16h às 18h. de segunda a sexta-feira. | Em mãos: das 16h às 17h. aos finais de semana e feriados;-23.678.487;-46.699.169;azul
Shopping Boulevard Tatuapé;-23.538.999;-46.576.336;azul
Shopping Metrô Tatuapé;-23.541.689;-46.577.046;azul
Shopping Center 3;-23.558.211;-46.658.685;azul
Shopping Frei Caneca;-2.355.418;-46.652.404;azul
Shopping Pátio Paulista;-2.357.077;-46.643.185;azul
Santana Parque Shopping;-23.482.817;-46.644.765;azul
Shopping Villa Lobos;-23.551.082;-46.722.143;azul
Shopping Vila Olímpia;-23.595.494;-46.686.731;azul
Shopping D;-23.521.589;-46.623.797;azul
Shopping Ibirapuera;-23.610.193;-46.666.874;azul
Shopping Metrô Itaquera;-23.540.753;-46.470.533;azul
Shopping Parque da Cidade;-23.625.707;-46.705.693;azul
Shopping Light;-23.546.695;-46.638.584;azul
Shopping Mais Largo 13;-23.653.185;-46.710.213;azul
Shopping Morumbi;-23.623.417;-46.698.544;azul
Shopping Metrô Santa Cruz;-23.599.135;-4.663.721;azul
Shopping West Plaza;-23.527.429;-46.674.795;azul
Raposo Shopping;-23.588.071;-46.751.194;azul
Shopping Jardim Sul;-23.631.077;-46.735.916;azul
Shopping Tietê Plaza;-2.350.641;-46.718.114;azul
Shopping Cidade Jardim;-23.599.033;-4.669.757;azul
Shopping Center Norte;-23.515.812;-46.618.219;azul
Campo Limpo Shopping;-23.649.725;-46.757.518;azul
Plaza Sul Shopping;-23.619.785;-46.626.847;azul
Shopping Pátio Higienópolis;-23.542.124;-46.657.393;azul
Shopping Aricanduva;-23.565.902;-46.503.075;azul
Shopping Interlagos;-23.676.287;-46.676.811;azul
Grand Plaza Shopping;-23.648.716;-4.653.192;azul
Shopping ABC;-23.667.739;-46.533.405;azul
Atrium Shopping;-2.366.366;-46.507.441;azul
Shopping Metrópole;-23.692.691;-46.550.326;azul
Golden Square Shopping;-23.683.628;-46.557.174;azul
São Bernardo Plaza Shopping;-23.723.153;-46.543.081;azul
ParkShopping São Caetano;-236.252.417.482.972;-465.793.371.258.485;azul
Shopping Praça da Moça;-23.691.476;-46.623.373;azul
Mauá Plaza Shopping;-23.664.167;-46.460.864;azul
Center Vale Shopping;-23.199.942;-45.881.328;azul
Vale Sul Shopping;-23.217.275;-45.891.329;azul
Colinas Shopping;-23.204.297;-45.908.647;azul
Taubaté Shopping;-23.023.564;-4.558.175;azul
Praiamar Shopping;-2.397.783;-46.308.711;azul
Shopping Parque Balneário;-23.968.946;-46.332.338;azul
Litoral Plaza Shopping;-23.997.776;-464.066;azul
Brisamar Shopping;-23.968.004;-46.383.924;azul
Serramar Shopping;-23.654.187;-45.437.064;azul
Caraguá Praia Shopping;-23.623.825;-45.410.717;azul
Shopping Porto Itaguá;-2.345.103;-45.066.152;azul
Mogi Shopping;-23.515.775;-46.179.687;azul
Patteo Urupema Shopping;-2.352.537;-46.199.418;azul
Suzano Shopping;-23.542.863;-46.318.485;azul
Itaquá Park Shopping;-23.475.434;-46.326.332;azul
Outlet Premium Grande São Paulo;-23.433.228;-46.272.284;azul
Shopping Bonsucesso;-23.434.073;-46.403.788;azul
Top Shop Caçapava;-2.310.629;-4.570.764;azul
Pier Mall Caçapava;-23.103.555;-45.685.161;azul
Aspen Mall;-22.718.788;-45.567.637;azul
Shopping Center Capivari;-22.718.989;-45.566.286;azul
Boulevard Genève;-22.718.833;-45.566.991;azul
Shopping Cadij;-22.720.191;-45.568.637;azul
Shopping Relógio;-22.719.995;-4.556.816;azul
Buriti Shopping Guará;-22.812.314;-45.197.495;azul
Shopping La Plage;-23.999.111;-46.260.529;azul
Shopping Center Lapa;-23.521.167;-4.670.079;azul
Shopping Penha;-23.525.178;-46.546.752;azul
Aeroporto Cumbica;-23.437.859;-46.480.556;azul
Aeroporto Congonhas - Bola Show;-23.627.415;-46.655.561;azul
Shopping Morumbi Town;-2.363.166;-46.737.563;azul
Andorinha Hiper Center;-23.484.327;-46.642.067;azul
Butantã Shopping;-23.584.136;-46.725.045;azul
Shopping Market Place;-23.621.504;-46.699.919;azul
Central Plaza Shopping;-23.591.676;-46.586.268;azul
Galeria Pagé;-235.267.627.420.554;-466.191.449.625.898;azul
Top Center Shopping;-235.652.469.928.947;-466.505.188.767.186;azul
São Bernardo Plaza Shopping;-237.230.135.650.532;-465.431.131.804.202;azul
Galeria do Rock;-235.438.238.118.077;-466.388.192.004.924;azul
5Fs Comercio De Calçados Ltda;-23.555.562;-46.600.525;verde
A Elite De S Bernardo M E Bij Ltda;-23.714.396;-46.549.258;verde
A2k Calcados E Confeccoes Ltda;-23.494.792;-46.571.233;verde
Ab 4 Magazine E Calc Eireli Epp;-23.510.098;-46.366.622;verde
Ae Comercio De Artigos Esportivos L;-23.561.454;-46.557.878;verde
Ae Comercio De Artigos Esportivos L;-2.351.317;-46.653.599;verde
Ae Comercio De Artigos Esportivos L;-23.606.002;-46.668.901;verde
Ae Comercio De Artigos Esportivos L;-23.602.588;-46.673.184;verde
Ae Comercio De Artigos Esportivos L;-23.562.083;-46.659.592;verde
AE COMERCIO DE ARTIGOS ESPORTIVOS LTDA;-23.559.954;-46.695.656;verde
Alessandra Rodrigues Calc Me;-23.469.597;-46.694.237;verde
Alexandre G Rodrigues Calc Epp;-23.500.527;-4.662.577;verde
Alonso S Special Calcados Ltda Me;-23.562.686;-46.554.556;verde
America Calcados E Acessorios Ltda;-23.469.698;-46.527.177;verde
America Calcados E Acessorios Ltda;-23.503.103;-46.625.295;verde
Ana Paula Viana Art Do Vest Me;-23.488.278;-46.574.466;verde
Anderson Gomes Dos S Calcados Epp;-23.637.298;-46.768.485;verde
Arena Comercio De Vestuario Ltda;-2.354.588;-46.471.883;verde
B M III Comercio De Calcados Ltda;-23.756.209;-46.708.301;verde
Backyard Escritorios Colaborativos;-23.550.652;-46.691.231;verde
Best Fit Comercio De Roupas Ltda Me;-23.554.106;-46.649.504;verde
Biza Com Art Esportivos Lt Me;-23.494.074;-46.646.492;verde
C A Freitas Pontes Cia Ltda;-23.984.368;-46.301.694;verde
Cajueiro Comercio De Calcados Ltda;-23.599.646;-46.600.576;verde
Calcados Casa Eurico Ltda;-23.605.932;-46.663.787;verde
Calcados Gabriella Guarulhos Ltda;-23.470.125;-46.529.441;verde
Calcados Gabriella Lapa Ltda - Epp;-23.523.296;-46.705.745;verde
Calcados Sergio De Itapevi Ltda;-23.622.205;-46.759.485;verde
Calcados Thigamar Penha Ltda;-23.526.186;-46.549.696;verde
Calcados Trevizan Ltda Me;-23.596.549;-46.523.449;verde
City Perus Com De Cal Ltda Epp;-23.406.978;-46.756.115;verde
Cl Calcados Ltda Epp;-23.565.167;-46.666.551;verde
Claudio Rodrigues - Comercio De Cal;-23.503.034;-46.625.726;verde
Comercial Nickys De Art Esp Ltda;-23.503.034;-46.625.726;verde
Comercial Tale Attire Couture Ltda;-23.516.596;-466.241;verde
Working Title Comercial Ltda;-23.561.977;-46.667.829;verde
Smx Magazine Ltda Me;-2.359.756;-46.453.481;verde
Overboard Artigos Esp Ltda Epp;-23.492.291;-46.442.865;verde
Magazine Mundial Ltda;-23.492.126;-46.443.055;verde
Shoebiz Comercio De Calcados Ltda;-23.491.991;-46.443.178;verde
Elza Pereira Duarte;-23.562.175;-46.664.455;verde
L V Guimaraes Epp;-23.557.446;-46.659.495;verde
Mtz Sp Com De Mat Esp Ltda Me;-2.356.254;-46.664.945;verde
Fabio Luiz Bigonha Epp;-23.544.989;-46.436.619;verde
